DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2014,10.182,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2015,9.879,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2016,10.080,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2017,9.911,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2018,10.134,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2019,10.288,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2020,10.278,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2021,10.240,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,IT,2022,11.077,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2013,4.500,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2014,4.680,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2015,4.651,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2016,4.604,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2017,4.588,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2018,4.673,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2019,4.914,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2020,5.027,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2021,5.131,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LT,2022,5.870,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LU,2013,10.353,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,LU,2014,10.922,
